Distance;Score
5.800000000000002;-6.0
6.000000000000002;-5.0
6.200000000000002;-5.0
6.400000000000002;-2.0
6.600000000000002;-1.0
6.8000000000000025;-1.0
7.000000000000003;-1.0
7.200000000000003;-1.0
7.400000000000003;-1.0
7.600000000000003;1.0
7.800000000000003;1.0
8.000000000000004;2.0
8.200000000000003;2.0
8.400000000000002;3.0
8.600000000000001;3.0
8.8;4.0
9.0;6.0
9.2;8.0
9.399999999999999;8.0
3.8;-5.0
4.0;-4.0
4.2;-4.0
4.4;-4.0
4.6000000000000005;-4.0
4.800000000000001;-4.0
5.000000000000001;-4.0
5.200000000000001;-4.0
5.400000000000001;-2.0
5.600000000000001;-1.0
5.800000000000002;-1.0
6.000000000000002;-1.0
6.200000000000002;-1.0
6.400000000000002;-1.0
6.600000000000002;-1.0
6.8000000000000025;-1.0
7.000000000000003;0.0
7.200000000000003;1.0
7.400000000000003;2.0
7.600000000000003;2.0
7.800000000000003;2.0
8.000000000000004;2.0
8.200000000000003;2.0
8.400000000000002;2.0
8.600000000000001;2.0
8.8;2.0
9.0;2.0
9.2;2.0
9.399999999999999;3.0
3.8;-22.0
4.0;-15.0
4.2;-15.0
4.4;-15.0
4.6000000000000005;-15.0
4.800000000000001;-15.0
5.000000000000001;-14.0
5.200000000000001;-11.0
5.400000000000001;-6.0
5.600000000000001;-4.0
5.800000000000002;-1.0
6.000000000000002;3.0
6.200000000000002;3.0
6.400000000000002;3.0
6.600000000000002;4.0
6.8000000000000025;5.0
7.000000000000003;6.0
7.200000000000003;7.0
7.400000000000003;7.0
7.600000000000003;7.0
7.800000000000003;7.0
8.000000000000004;8.0
8.200000000000003;9.0
8.400000000000002;11.0
8.600000000000001;12.0
8.8;12.0
9.0;12.0
9.2;13.0
9.399999999999999;13.0
3.8;-23.0
4.0;-15.0
4.2;-15.0
